Gazepoint Analysis,v6.0.0
Processed on,Mon Feb 17 16:11:48 2020

Note: -1 values indicate an AOI that was never viewed
AOI Summary
Media ID, Media Name, Media Duration (sec - U=UserControlled), AOI ID, AOI Name, AOI Start (sec), AOI Duration (sec - U=UserControlled), Viewers (#), Total Viewers (#), Ave Time to 1st View (sec), Ave Time Viewed (sec), Ave Time Viewed (%), Ave Fixations (#), Revisitors (#), Average Revisits (#), 
0, NewMedia0, U, 1, Map1, 0.000, U, 21, user22, M, 0, 3.681, 57.658, 5.856, 215.000, 116, 
0, NewMedia0, U, 1, Map1, 0.000, U, 22, user23, M, 0, 6.031, 11.328, 1.151, 58.000, 41, 
0, NewMedia0, U, 1, Map1, 0.000, U, 23, user24, M, 0, 0.563, 67.000, 6.805, 216.000, 96, 
0, NewMedia0, U, 1, Map1, 0.000, U, 24, user25, M, 0, 2.250, 35.016, 3.556, 187.000, 130, 
0, NewMedia0, U, 1, Map1, 0.000, U, 25, user26, M, 0, 6.141, 33.000, 3.352, 115.000, 79, 
0, NewMedia0, U, 1, Map1, 0.000, U, 26, user27, M, 0, 3.281, 36.984, 3.756, 152.000, 80, 
0, NewMedia0, U, 1, Map1, 0.000, U, 27, user28, M, 0, 2.484, 19.438, 1.974, 69.000, 47, 
0, NewMedia0, U, 1, Map1, 0.000, U, 28, user29, M, 0, 8.375, 65.406, 6.643, 311.000, 206, 
0, NewMedia0, U, 1, Map1, 0.000, U, 29, user30, M, 0, 4.891, 101.578, 10.317, 328.000, 154, 
0, NewMedia0, U, 1, Map1, 0.000, U, 30, user31, M, 0, 1.156, 83.094, 8.440, 254.000, 127, 
0, NewMedia0, U, 1, Map1, 0.000, U, 31, user32, M, 0, 6.469, 90.188, 9.160, 260.000, 148, 
0, NewMedia0, U, 1, Map1, 0.000, U, 33, user33, M, 0, 0.000, 29.969, 3.044, 112.000, 88, 
0, NewMedia0, U, 1, Map1, 0.000, U, 34, uesr34, M, 0, 2.500, 49.750, 5.053, 179.000, 94, 
0, NewMedia0, U, 1, Map1, 0.000, U, 35, user35, M, 0, 10.777, 18.054, 1.834, 60.000, 23, 
0, NewMedia0, U, 1, Map1, 0.000, U, 36, user36, M, 0, 5.355, 69.189, 7.027, 211.000, 113, 
0, NewMedia0, U, 1, Map1, 0.000, U, 37, user37, M, 0, 1.035, 41.683, 4.234, 130.000, 81, 
0, NewMedia0, U, 1, Map1, 0.000, U, 38, user38, M, 0, 2.727, 23.461, 2.383, 90.000, 73, 
